timstamp,x,y,z
2025-06-06 01:49:40.859,0.981689453125,-0.0386962890625,-0.043212890625
2025-06-06 01:49:40.917,0.981201171875,-0.038818359375,-0.0423583984375
2025-06-06 01:49:40.918,0.9814453125,-0.0386962890625,-0.042724609375
2025-06-06 01:49:40.918,0.98193359375,-0.0391845703125,-0.04296875
2025-06-06 01:49:40.977,0.9818115234375,-0.0394287109375,-0.04296875
2025-06-06 01:49:40.978,0.9813232421875,-0.0384521484375,-0.0426025390625
2025-06-06 01:49:40.978,0.9815673828125,-0.038818359375,-0.04150390625
2025-06-06 01:49:41.037,0.981201171875,-0.0386962890625,-0.042236328125
2025-06-06 01:49:41.038,0.98193359375,-0.038818359375,-0.0419921875
2025-06-06 01:49:41.039,0.981201171875,-0.0391845703125,-0.0426025390625
2025-06-06 01:49:41.097,0.9825439453125,-0.0394287109375,-0.0428466796875
2025-06-06 01:49:41.098,0.981201171875,-0.03857421875,-0.042236328125
2025-06-06 01:49:41.098,0.9813232421875,-0.0399169921875,-0.042236328125
2025-06-06 01:49:41.157,0.9813232421875,-0.0390625,-0.0418701171875
2025-06-06 01:49:41.158,0.981689453125,-0.039794921875,-0.0433349609375
2025-06-06 01:49:41.159,0.9820556640625,-0.0386962890625,-0.04248046875
2025-06-06 01:49:41.218,0.981689453125,-0.0391845703125,-0.04248046875
2025-06-06 01:49:41.219,0.9818115234375,-0.039306640625,-0.0413818359375
2025-06-06 01:49:41.219,0.98095703125,-0.039794921875,-0.0416259765625
2025-06-06 01:49:41.277,0.9818115234375,-0.0391845703125,-0.0421142578125
2025-06-06 01:49:41.278,0.981689453125,-0.038818359375,-0.0419921875
2025-06-06 01:49:41.278,0.981689453125,-0.0390625,-0.042236328125
2025-06-06 01:49:41.337,0.9815673828125,-0.0386962890625,-0.04248046875
2025-06-06 01:49:41.338,0.9814453125,-0.0389404296875,-0.04248046875
2025-06-06 01:49:41.338,0.9813232421875,-0.0391845703125,-0.0433349609375
2025-06-06 01:49:41.397,0.9822998046875,-0.0394287109375,-0.042236328125
2025-06-06 01:49:41.398,0.9814453125,-0.0386962890625,-0.0428466796875
2025-06-06 01:49:41.399,0.9814453125,-0.038330078125,-0.0426025390625
2025-06-06 01:49:41.458,0.98046875,-0.0396728515625,-0.0426025390625
2025-06-06 01:49:41.458,0.9815673828125,-0.0384521484375,-0.04150390625
2025-06-06 01:49:41.459,0.981689453125,-0.0390625,-0.0419921875
2025-06-06 01:49:41.517,0.981201171875,-0.0386962890625,-0.0428466796875
